text,word_in_topic_weight,topic
тирион,0.4627,2
давос,-0.4791,2
сэм,0.1646,2
джон,0.1539,2
ден,-0.1497,2
бран,-0.0952,2
станнис,-0.0928,2
брон,0.0795,2
карлик,0.0791,2
корол,-0.0775,2
теон,-0.0773,2
дракон,-0.0641,2
мелисандр,-0.0630,2
ходор,-0.0590,2
бриен,-0.0585,2
корабл,-0.0551,2
виктарион,-0.0547,2
салладор,-0.0526,2
серсе,0.0518,2
тайвин,0.0511,2
варис,0.0510,2
дрог,-0.0492,2
грифф,0.0491,2
мор,-0.0484,2
санс,0.0473,2
джоффр,0.0464,2
пилос,-0.0458,2
кхал,-0.0457,2
кресс,-0.0455,2
милорд,0.0436,2
контрабандист,-0.0418,2
шагг,0.0415,2
величеств,-0.0403,2
лилл,0.0403,2
бог,-0.0396,2
акселл,-0.0393,2
крастер,0.0385,2
мормонт,0.0380,2
джейм,0.0371,2
ланнистер,0.0369,2
гиздар,-0.0362,2
хелдон,0.0360,2
саа,-0.0356,2
грен,0.0347,2
отец,0.0346,2
штормов,-0.0340,2
морск,-0.0333,2
ренл,-0.0333,2
джор,-0.0326,2
нед,-0.0325,2
мейстер,-0.0322,2
тирелл,0.0315,2
даар,-0.0313,2
рыцар,-0.0311,2
кива,0.0310,2
слинт,0.0301,2
робб,-0.0297,2
эдрик,-0.0291,2
сир,-0.0288,2
эйерон,-0.0287,2
эурон,-0.0287,2
красн,-0.0286,2
эйемон,0.0283,2
мир,-0.0282,2
был,-0.0281,2
луков,-0.0281,2
жой,-0.0278,2
капита,-0.0278,2
женщин,-0.0276,2
старк,0.0275,2
кхалис,-0.0271,2
вод,-0.0271,2
бельвас,-0.0270,2
сынов,-0.0269,2
визерис,-0.0265,2
люд,-0.0265,2
оберин,0.0264,2
вонючк,-0.0261,2
флорент,-0.0260,2
дозор,0.0260,2
имр,-0.0259,2
пен,0.0259,2
предел,-0.0258,2
королев,-0.0256,2
весл,-0.0254,2
безупречн,-0.0252,2
бет,-0.0252,2
янос,0.0250,2
сиворт,-0.0247,2
них,-0.0243,2
рамс,-0.0240,2
кортн,-0.0240,2
вима,-0.0240,2
кейтилин,-0.0239,2
сно,0.0238,2
маргер,0.0238,2
барриста,-0.0236,2
пип,0.0236,2
пицел,0.0236,2
дева,-0.0234,2
