text,word_in_topic_weight,topic
бран,0.4303,5
тирион,0.3783,5
бриен,-0.3069,5
давос,0.2847,5
ходор,0.2684,5
джейм,-0.2631,5
сир,-0.1879,5
сэм,-0.1624,5
теон,0.1294,5
жой,0.1284,5
санс,-0.1215,5
алейн,-0.0938,5
ден,-0.0811,5
лювин,0.0772,5
мир,0.0746,5
робб,0.0674,5
джон,-0.0639,5
кейтилин,-0.0617,5
серсе,-0.0611,5
лет,0.0598,5
мейстер,0.0587,5
петир,-0.0510,5
станнис,0.0488,5
волк,0.0465,5
милед,-0.0447,5
нед,-0.0445,5
карлик,0.0440,5
винтерфелл,0.0439,5
грифф,0.0436,5
величеств,-0.0434,5
роберт,-0.0411,5
рыцар,-0.0411,5
виктарион,0.0411,5
родрик,0.0410,5
королев,-0.0403,5
лилл,-0.0395,5
нэн,0.0391,5
дерев,0.0383,5
крейтон,-0.0375,5
брон,0.0373,5
маргер,-0.0372,5
рикон,0.0370,5
лорас,-0.0365,5
крастер,-0.0364,5
подрик,-0.0359,5
эдмар,-0.0356,5
крэб,-0.0346,5
вонючк,0.0344,5
хил,-0.0344,5
меч,-0.0344,5
квиберн,-0.0341,5
салладор,0.0323,5
корабл,0.0316,5
ворон,0.0314,5
мелисандр,0.0312,5
лед,-0.0311,5
рид,0.0310,5
клеос,-0.0307,5
хелдон,0.0305,5
барриста,-0.0304,5
был,0.0297,5
томм,-0.0294,5
тарл,-0.0291,5
лиз,-0.0291,5
гиздар,-0.0289,5
бог,0.0287,5
старк,0.0287,5
септ,-0.0287,5
ренл,-0.0273,5
дрог,-0.0269,5
стен,0.0268,5
кресс,0.0268,5
королевск,-0.0267,5
пилос,0.0266,5
камен,0.0263,5
золот,-0.0263,5
эйерон,0.0255,5
рамс,0.0255,5
черн,0.0254,5
септон,-0.0254,5
иллифер,-0.0253,5
мерибальд,-0.0252,5
лорд,-0.0251,5
грен,-0.0249,5
женщин,-0.0247,5
утк,0.0242,5
палуб,0.0241,5
миранд,-0.0241,5
эйемон,-0.0241,5
нестор,-0.0238,5
мор,0.0237,5
пес,-0.0236,5
кхал,-0.0235,5
морск,0.0235,5
хорнвуд,0.0234,5
даар,-0.0234,5
девич,-0.0233,5
вод,0.0228,5
волч,0.0224,5
риверра,-0.0223,5
