text,word_in_topic_weight,topic
кейтилин,0.4001,9
нед,0.3446,9
алейн,-0.3049,9
бриен,-0.2983,9
робб,0.1836,9
санс,-0.1819,9
сэм,0.1455,9
виктарион,-0.1316,9
корол,0.1121,9
петир,-0.1098,9
ден,0.1095,9
эдмар,0.1070,9
сир,0.0908,9
проговор,0.0905,9
ланнистер,0.0900,9
миранд,-0.0866,9
лорд,0.0842,9
фре,0.0742,9
сын,0.0723,9
уолдер,0.0720,9
ходор,-0.0677,9
подрик,-0.0668,9
эурон,-0.0628,9
ренл,0.0587,9
дрог,0.0573,9
кхал,0.0567,9
крэб,-0.0556,9
вот,-0.0556,9
возл,0.0556,9
старк,0.0548,9
бринд,0.0541,9
зяблик,-0.0522,9
лед,-0.0508,9
хил,-0.0507,9
джор,0.0501,9
величеств,0.0500,9
дик,-0.0497,9
станнис,0.0490,9
эйерон,-0.0481,9
нестор,-0.0478,9
лотор,-0.0475,9
тайвин,0.0471,9
жой,-0.0460,9
женщин,-0.0457,9
серсе,0.0442,9
уэйнвуд,-0.0442,9
роберт,0.0441,9
гретчел,-0.0428,9
варис,0.0427,9
мадд,-0.0420,9
брат,0.0408,9
лилл,0.0405,9
брюн,-0.0400,9
крейтон,-0.0398,9
рук,-0.0394,9
талл,0.0394,9
барриста,0.0392,9
мерибальд,-0.0389,9
поглядел,0.0379,9
джендр,-0.0374,9
давос,-0.0373,9
сказа,-0.0369,9
мизинец,0.0363,9
ворон,-0.0363,9
пицел,0.0360,9
риверра,0.0359,9
люльк,-0.0356,9
вниз,-0.0352,9
грифф,-0.0347,9
ответ,0.0344,9
жрец,-0.0343,9
королев,0.0342,9
донтос,-0.0342,9
жиен,0.0342,9
десниц,0.0339,9
нег,-0.0334,9
корабл,-0.0333,9
вод,-0.0332,9
нет,-0.0330,9
мор,-0.0326,9
гарр,-0.0325,9
хостер,0.0324,9
мул,-0.0324,9
стал,-0.0319,9
глаз,-0.0318,9
собак,-0.0317,9
игритт,-0.0311,9
отвеча,0.0310,9
тормунд,-0.0310,9
эддард,0.0304,9
нос,-0.0291,9
принц,-0.0290,9
совет,0.0290,9
меч,-0.0289,9
снег,-0.0287,9
под,-0.0286,9
пирожок,-0.0286,9
кон,0.0284,9
лотар,0.0284,9
карстарк,0.0283,9
