text,word_in_topic_weight,topic
ден,0.4653,3
лорд,-0.2925,3
давос,-0.1848,3
кейтилин,-0.1777,3
дрог,0.1648,3
кхал,0.1644,3
дракон,0.1602,3
джон,-0.1231,3
джор,0.1223,3
алейн,-0.1208,3
раб,0.1096,3
джейм,-0.1066,3
гиздар,0.1018,3
нед,-0.0968,3
робб,-0.0963,3
санс,-0.0957,3
даар,0.0945,3
миэрин,0.0903,3
визерис,0.0898,3
город,0.0879,3
кхалис,0.0861,3
станнис,-0.0858,3
бельвас,0.0826,3
бриен,-0.0822,3
безупречн,0.0812,3
лед,-0.0803,3
петир,-0.0798,3
корол,-0.0790,3
сэм,0.0774,3
тирион,0.0771,3
астапор,0.0761,3
иллир,0.0721,3
дейенерис,0.0718,3
дотракийц,0.0715,3
роберт,-0.0713,3
ирр,0.0686,3
ксар,0.0670,3
лиз,-0.0670,3
кров,0.0666,3
фре,-0.0634,3
чхик,0.0610,3
милорд,-0.0600,3
теон,-0.0592,3
эдмар,-0.0586,3
резнак,0.0584,3
дрогон,0.0576,3
барриста,0.0572,3
ренл,-0.0561,3
кразнис,0.0558,3
был,0.0555,3
королев,0.0554,3
квентин,0.0549,3
гарп,0.0548,3
арста,0.0545,3
джорах,0.0538,3
мирр,0.0537,3
старк,-0.0535,3
кхаласар,0.0528,3
милед,-0.0513,3
ланнистер,-0.0496,3
мейстер,-0.0474,3
кварт,0.0474,3
дуур,0.0473,3
уолдер,-0.0470,3
кровн,0.0463,3
маз,0.0453,3
принц,0.0450,3
пирамид,0.0447,3
дотракийск,0.0435,3
чхог,0.0433,3
агг,0.0429,3
миссанде,0.0424,3
юнка,0.0423,3
квот,0.0421,3
вестерос,0.0413,3
величеств,0.0413,3
золот,0.0406,3
мор,0.0395,3
сказа,0.0393,3
нестор,-0.0392,3
солнц,0.0385,3
магистр,0.0382,3
токар,0.0374,3
грифф,0.0372,3
винтерфелл,-0.0364,3
юнкайц,0.0364,3
болтон,-0.0360,3
мормонт,0.0358,3
господ,0.0358,3
скахаз,0.0350,3
евнух,0.0346,3
аракх,0.0339,3
кон,0.0337,3
тайвин,-0.0337,3
трав,0.0337,3
мир,0.0335,3
мелисандр,-0.0332,3
гнезд,-0.0327,3
замк,-0.0326,3
кирпич,0.0326,3
